site_numbe,Type,Cl,SO4,Br,NO3-N,Na,K,Mg,Ca,Ammonia,Phosphate,Latitude,Longitude,Latitude_streamstat,Longitude_streamstat,Temp.C,Pressure.mmHg,DO.%,DO.mg/L,SPC.uS/cm,pH,pH.mV,DOC.(mg/L),TDN.(mg/L),Site.Code,Branch,Time,Team,Site.Notes,YSI.Notes,General.Notes,X,Site.Num,BASINPERIM,BSLDEM30FT,CSL10_85fm,DRNAREA,ELEV,ELEVMAX,I24H50Y,LC01BARE,LC01CRPHAY,LC01DEV,LC01FOREST,LC01HERB,LC01IMP,LC01SHRUB,LC01WATER,LC01WETLND,LC06BARE,LC06DEV,LC06FOREST,LC06GRASS,LC06IMP,LC06PLANT,LC06SHRUB,LC06WATER,LC06WETLND,LC11BARE,LC11CRPHAY,LC11DEV,LC11FOREST,LC11GRASS,LC11IMP,LC11SHRUB,LC11WATER,LC11WETLND,LC92FOREST,LFPLENGTH,LU92BARE,LU92DEV,LU92PLANT,LU92WATER,LU92WETLN,MINBELEV,OUTLETELEV,PCTREG1,PCTREG2,PCTREG3,PCTREG4,PCTREG5,PRECIP,PROTECTED,SSURGOA,SSURGOB,SSURGOC,SSURGOD,Main.Distance.km,DO_Reg,TDN_Reg,NO3N_Reg,PO4_Reg
1.2,Trib,9.57410484,23.4903008,NA,0.30024748,18.5262151,1.95851403,2.44942876,12.61800893,0.001,0.0206,36.0302735,-78.9639518,36.0302735,-78.9639518,15.4,752.7,87.4,8.73,176,7.41,-31,3.637,0.4265,Fall.SS.2021.1,South,0.376388889,1,Water is flowing and clear; dumping occcurs near stream. Train runs parallel to stream. Sewer line upstream of site.,"Did not measure depth well; creek was very shallow, maybe a few cm deep",NA,1,1,5.28,3.76,37.83,0.73,493,529,6.74,0.6,0.9,55.6,41.1,0.2,20.16,0.9,0,0.8,0.6,56,40.8,0.2,21.86,0.9,0.9,0,0.8,0,0,66.5,30,0.9,26.6,1.9,0,0.7,63.3,1.702,0,33.9,1.9,0,0.9,441,441,100,0,0,0,0,48,0.1,0,31.5,60.8,5.6,NA,Y,N,N,N
2.1,Main,4.29798694,6.03668813,NA,0.32381262,5.34436356,1.59700134,1.94240986,10.89031271,0.001,0.0193,36.027578,-78.954144,36.02744,-78.95401,17,754.4,80.3,7.76,93.9,6.86,-3.5,5.637,0.6204,Fall.SS.2021.2,South,0.401388889,Steve,By a highway; water is flowing. Rocky. Lots of small fish. Raccoon Tracks,NA,NA,22,2,8.11,5.43,48.87,1.21,482,557,6.73,0.3,1.2,61.3,36.1,0.1,17.22,0.5,0,0.5,0.3,61.4,34.7,1.4,18.44,1.2,0.5,0,0.5,0,0.6,69.2,28.1,0.6,21.7,1.2,0,0.4,63,2.456,0,34.7,1.4,0.4,0.5,377,379,100,0,0,0,0,48,0,0,50.9,43.7,3.9,0.9,N,N,N,N
3.1,Main,7.6395769,7.8748034,NA,0.3003671,8.15705344,2.01046285,3.5025868,14.46607547,0.0198,0.0281,36.0233697,-78.9426366,36.0233697,-78.9426366,16.6,754.8,79,7.69,139,7.11,-17.1,5.708,0.5775,Fall.SS.2021.3,South,0.432638889,Steve,Golfballs in water. Water is stagnant. Area is a marked conservation area,NA,NA,2,3,11.2,5.37,50.06,1.79,457,557,6.73,0.2,1.1,73.3,24.7,0.1,23.93,0.4,0,0.3,0.2,73.4,23.6,1,25.47,1.1,0.4,0,0.3,0,0.7,78.7,19.2,0.4,27.8,0.8,0,0.3,46.5,3.306,0,47.1,5.6,0.3,0.4,358,358,100,0,0,0,0,48,0,0,38.2,33.7,22.5,2.1,N,N,N,N
4.2,Trib,10.01667442,11.03617229,NA,0.39737892,11.78019868,4.57085838,4.84296976,19.86005102,0.0532,0.0682,36.0235693,-78.9426446,36.0235693,-78.9426446,17.5,754.8,78.6,7.51,193.9,7.27,-26.2,7.323,0.9704,Fall.SS.2021.4,South,0.429861111,Steve,"water is flowing but leads into stagnant area. Has fish, golfballs; area is a marked conservation area",NA,NA,3,4,7.15,6.17,67.73,0.82,431,556,6.72,0,2.6,84.6,10.3,1.9,12.2,0,0.7,0,0,84.6,10.3,1.9,13.83,2.6,0,0.7,0,0,2,85.7,9.7,1.9,14.3,0,0.7,0,31.6,2.08,0,43.6,22.6,2.2,0,360,364,100,0,0,0,0,48,0,0,51.2,5.6,41,NA,N,Y,N,Y
5.1,Main,8.2478548,14.3253689,NA,0.26352414,10.88921001,2.52909943,3.69801642,15.09395954,0.0397,0.0626,36.0220844,-78.9364363,36.02194,-78.93651,17.6,754.8,82.2,7.84,157.6,7.12,-17.7,5.221,0.5927,Fall.SS.2021.5,South,0.450694444,Steve,Water is more turbid/cloudy. By a road. Very sandy. Not a lot of rocks. Water is still. Wider and deeper,NA,NA,23,5,14,5.57,47.03,2.8,445,557,6.73,0.1,1.4,78.3,18.8,0.6,20.21,0.2,0.3,0.2,0.1,78.4,18.2,1.2,21.71,1.4,0.2,0.3,0.2,0,1,82,15.1,0.8,23.4,0.5,0.3,0.2,40.7,3.7,0.1,44.9,12.9,1.2,0.3,353,354,100,0,0,0,0,48,0,0,39.4,24.4,31.3,2.6,N,N,N,Y
6.1,Main,8.22539082,11.4374093,0.16409738,0.28206524,10.07761637,2.57849339,3.5463397,15.01013021,0.0302,0.0559,36.0234795,-78.9287706,36.0234795,-78.9287706,17.5,754.8,74,7.55,151.4,6.94,-7.9,5.863,0.5933,Fall.SS.2021.6a,South,0.464583333,Steve,deeper water. Near sewer line. Algae on rocks. Located on Ellerbee Creek trail; turbidity: 8.31 NTU,NA,NA,4,6a,15.4,5.38,42.05,3.29,436,557,6.73,0.1,1.2,80.9,16.3,0.5,19.86,0.2,0.6,0.2,0.1,81,15.7,1,21.5,1.2,0.2,0.6,0.2,0,0.9,84.3,13,0.7,23.5,0.4,0.6,0.1,39.2,4.169,0.2,46.6,12.5,1.3,0.2,349,350,100,0,0,0,0,48,0,0,33.6,23.1,37.4,3.3,N,N,N,Y
6.2,Trib,24.29734742,15.74646596,NA,0.25885896,13.91447368,4.70839501,3.8963629,21.5022461,0.001,0.0585,36.0232401,-78.92609,36.02351,-78.92582,16.5,754.6,29.7,2.9,223.4,6.71,5.3,12.66,0.9232,Fall.SS.2021.6b,South,0.477083333,Steve,Totally dried up in some parts. Very incised adn down to bedrock. No flow. Old asphalt in cree. Water is very amber in color with little sediment,NA,NA,24,6b,2.86,5.42,88.38,0.23,396,437,6.73,0,0,99.8,0.2,0,12.63,0,0,0,0,99.8,0.2,0,12.63,0,0,0,0,0,0,99.8,0.2,0,12.6,0,0,0,26.8,0.894,0,72.7,0.5,0,0,348,351,100,0,0,0,0,47.9,0,0,0,6.4,93.6,NA,N,Y,N,Y
7.1,Main,7.66904264,9.84626981,NA,0.2752469,8.77428577,2.56103518,3.53501542,14.59623782,0.0426,0.0421,36.0304788,-78.9155664,36.0304788,-78.9155664,18,754.7,82.2,7.79,143.6,7.16,-19.9,5.824,0.5957,Fall.SS.2021.7,South,0.504166667,Steve,Near Costco. Some incision. Cloudy and wide. Water is flowing. Rocky and muddy. More plastic bags/trash,NA,NA,5,7,17.7,5.31,34.67,4.15,425,557,6.73,0.1,1,83.3,14.4,0.4,20.76,0.2,0.5,0.1,0.1,83.4,14,0.8,22.58,1,0.2,0.5,0.1,0,0.7,86,11.8,0.5,24.2,0.3,0.5,0.1,36.8,5.169,0.1,51.9,10,1,0.2,337,341,100,0,0,0,0,47.9,0,0,27.2,23.2,42.4,4.4,N,N,N,Y
8.2,Trib,11.8420916,14.96805827,NA,0.49163948,11.40798112,3.45097808,3.67107836,22.26077018,0.0175,0.0462,36.016986,-78.914698,36.016986,-78.914698,16.7,754.7,73.4,7.04,204.6,7.17,-70.5,5.292,0.7818,Fall.SS.2021.8,South,0.365972222,2,Heavily veg. bank. Shady. Water running at sampling site but releatively stagnant up and downstream. Downstream of road,NA,NA,6,8,5.24,4.7,52.2,0.76,396,432,6.73,0,0,100,0,0,33.42,0,0,0,0,100,0,0,34.16,0,0,0,0,0,0,100,0,0,34.6,0,0,0,7.4,1.619,0,91.7,0.9,0,0,345,357,100,0,0,0,0,47.8,0,0,0,4.8,82.1,NA,N,Y,N,Y
9.2,Trib,10.53743032,12.95477168,0.20008928,0.46939016,10.50617879,2.98386451,4.66229602,21.67874147,0.0205,0.0211,36.018084,-78.897706,36.018084,-78.897706,17.9,756.1,75.8,7.05,203.8,7.33,-78.6,5.404,0.7225,Fall.SS.2021.9,South,0.411805556,2,Exposed drainage pipe surrounded by litter. Foamy water stream is more exposed to sunlight. Small fish in stream (~ 3 in). Flies over the water,NA,NA,7,9,8.39,5.19,40.23,1.46,378,432,6.73,0,0,100,0,0,35.08,0,0,0,0,100,0,0,36.56,0,0,0,0,0,0,100,0,0,37.2,0,0,0,10,2.996,0,88.6,0.6,0,0.7,301,307,100,0,0,0,0,47.8,0,0,0,7.3,76.5,NA,N,Y,N,N
