"","SITE","DATE","Ammonia","Phosphate","DOC..mg.L.","TDN..mg.L.","Cl","SO4","Br","NO3.N","Temp.C","SPC.uS.cm","Pressure.mmHg","DO..","DO.mg.L","pH","E.Coli..CFU.per.100mL.","Na","K","Mg","Ca","MedianHHIn","Low_20thPHHIn","roadLength_km","roadDensity_kmkm2","pipeLength_km","pipeDensity_kmkm2","perMinority","gs_area","per_gs"
"1",1.2,2022-02-26,0.005,0.0118,8.559,0.5605,15.96671656,9.44922082,0.28097379,0.24913212,8.7,134.3,761.4,102.5,11.95,7.25,253.4,NA,NA,NA,NA,69000,40000,14.421294,7.597456613,8.99316317,4.737797248,12.4567474,NA,NA
"2",2.1,2022-02-26,0.005,0.005,6.869,0.615,24.63489822,7.41234204,0.26166171,0.31607566,9.2,160.9,763.2,104.1,12.02,7.3,NA,NA,NA,NA,NA,72500,43600,29.368217,9.339039803,14.78884392,4.702825575,11.57024793,279319.8697,0.088823213
"3",3.1,2022-02-26,0.005,0.0129,7.191,0.6004,34.65464556,9.10656468,0.36707348,0.27604876,8.9,220.9,763.3,78.4,9.12,7.15,NA,NA,NA,NA,NA,71000,43000,46.32394694,9.998708953,29.39805425,6.345370107,11.32376396,279319.8697,0.060289295
"4",4.2,2022-02-26,0.0319,0.0623,6.16,0.5399,30.50885732,13.29505954,0.005,0.17986818,9.6,194,763.2,79.6,9.08,7.31,93,NA,NA,NA,NA,43000,24000,20.68393499,9.769987732,10.13728234,4.788311514,18.47672779,NA,NA
"5",5.1,2022-02-26,0.005,0.0383,6.351,0.5374,36.22966934,12.96290478,0.33810536,0.2379942,9.87,227.8,763.5,93.2,10.57,7.35,NA,NA,NA,NA,NA,61000,33000,64.51878937,8.878945445,41.55435202,5.718625972,14.9506347,279319.8697,0.038439436
"6",6.1,2022-02-26,0.0297,0.112,5.122,0.5202,33.14794018,17.69669352,0.34212871,0.29577216,9.37,213.1,763.5,83.9,9.76,7.39,NA,NA,NA,NA,NA,54000,32000,77.68284912,9.116890314,51.29651291,6.020179319,14.58145815,644071.1538,0.075588449
"7",6.2,2022-02-26,0.005,0.0337,6.119,0.5098,20.71968458,19.48970692,0.61491184,0.2855624,8.1,300.9,763.5,90.1,10.64,7.34,872,NA,NA,NA,NA,66000,39000,9.509509229,15.86405194,2.733556594,4.560202081,5.13739546,271540.6935,0.452992427
"8",7.1,2022-02-26,0.0601,0.0844,5.287,0.5452,28.24865692,15.50346086,0.30994191,0.25562924,9.4,215.7,763.3,86.9,9.97,7.58,NA,NA,NA,NA,NA,52000,31000,102.4182662,9.531811046,66.48290668,6.187397306,12.184327,2834057.562,0.263758626
"9",8.2,2022-02-26,0.005,0.0291,5.553,0.7392,30.0926844,19.55504884,0.54651489,0.52235922,9,282.1,764.3,106.8,11.98,6.91,305.8,NA,NA,NA,NA,27000,18000,29.3304484,15.02750507,20.31690763,10.40940214,21.85573366,NA,NA
"10",9.2,2022-02-26,0.017,0.0129,5.792,0.6291,30.69388632,14.10055428,0.48696931,0.3777983,9.2,263.6,765.4,109.9,12.29,7.64,370,NA,NA,NA,NA,25000,16000,55.82319666,14.87989162,39.06779947,10.4136749,31.4178515,352143.0997,0.093865122
"11",11.1,2022-02-26,0.0442,0.0563,6.049,0.6133,31.99905242,14.37164546,0.39201825,0.31967228,9.5,213.5,764,111.2,12.72,7.54,NA,NA,NA,NA,NA,43000,27000,123.0250236,8.942518889,84.3499841,6.131283735,19.6949218,5381559.338,0.391178109
"12",12.1,2022-02-26,0.0553,0.046,6.149,0.6399,31.72150892,13.06052872,0.33730069,0.29855664,9.7,216.4,765.3,100.6,11.46,7.5,NA,NA,NA,NA,NA,41000,21000,134.4314662,9.030926612,89.43292092,6.007984355,26.50640025,7040908.44,0.472998839
