Station.Name,Filtered,Parameter,Date.Time,Value,QA.Code,Unit,QAQC.Sample,Comments,Rain.in.Last.24.Hours,Sky.Condition,Flow.Severity,Comp..Code,Thalweg,Lab,Project
EL8.5SEC,No,Alkalinity,3/16/16 8:46,78,,,,Staff Gage:  0.72,No,Sunny,2,G,Yes,SDWRF,Ambient
EL1.9EC,,Alkalinity,2/7/06 9:10,61.2,,mgCaCO3/L,, ,,Partly Cloudy,NA,G,,SDWRF,Ambient
EL1.9EC,,Alkalinity,3/14/06 9:25,61.4,,mgCaCO3/L,, ,,Partly Cloudy,NA,G,,SDWRF,Ambient
EL1.9EC,,Alkalinity,4/4/06 9:47,76.9,,mgCaCO3/L,, ,,Sunny,NA,G,,SDWRF,Ambient
EL1.9EC,,Alkalinity,5/16/06 9:05,46.5,,mgCaCO3/L,, ,,Sunny,NA,G,,SDWRF,Ambient
EL1.9EC,,Alkalinity,6/13/06 9:26,51.3,,mgCaCO3/L,, ,,Cloudy,NA,G,,SDWRF,Ambient
EL1.9EC,,Alkalinity,7/18/06 9:50,64.4,,mgCaCO3/L,, ,,Sunny,NA,G,,SDWRF,Ambient
EL1.9EC,,Alkalinity,8/8/06 9:35,47.5,,mgCaCO3/L,, ,,Sunny,NA,G,,SDWRF,Ambient
EL1.9EC,,Alkalinity,9/12/06 9:00,52.4,,mgCaCO3/L,, ,,Cloudy,NA,G,,SDWRF,Ambient
EL1.9EC,,Alkalinity,10/10/06 9:53,60,,mgCaCO3/L,, ,,Sunny,NA,G,,SDWRF,Ambient
EL1.9EC,,Alkalinity,11/7/06 9:15,39.1,,mgCaCO3/L,, ,,Partly Cloudy,NA,G,,SDWRF,Ambient
EL1.9EC,,Alkalinity,12/6/06 9:18,53.6,,mgCaCO3/L,, ,,Cloudy,NA,G,,SDWRF,Ambient
EL1.9EC,,Alkalinity,10/16/07 9:55,41.8,,mgCaCO3/L,, ,,Sunny,NA,G,,SDWRF,Ambient
EL1.9EC,,Alkalinity,11/6/07 9:40,40.8,,mgCaCO3/L,, ,,Partly Cloudy,NA,G,,SDWRF,Ambient
EL1.9EC,,Alkalinity,12/5/07 9:25,40.6,,mgCaCO3/L,, ,,Cloudy,NA,G,,SDWRF,Ambient
EL1.9EC,,Alkalinity,1/15/08 9:38,47.6,,mgCaCO3/L,, ,,Sunny,NA,G,,SDWRF,Ambient
EL1.9EC,,Alkalinity,2/12/08 10:10,83.8,,mgCaCO3/L,, ,,Cloudy,NA,G,,SDWRF,Ambient
EL1.9EC,,Alkalinity,3/13/08 9:22,64.6,,mgCaCO3/L,, ,,Sunny,NA,G,,SDWRF,Ambient
EL1.9EC,,Alkalinity,4/8/08 9:45,66,,mgCaCO3/L,, ,,Partly Cloudy,NA,G,,SDWRF,Ambient
EL1.9EC,,Alkalinity,5/6/08 8:55,73.7,,mgCaCO3/L,, ,,Sunny,NA,G,,SDWRF,Ambient
EL5.6EC,,Alkalinity,2/7/06 9:10,61.3,,mgCaCO3/L,, ,,Partly Cloudy,NA,G,,SDWRF,Ambient
EL5.6EC,,Alkalinity,3/14/06 10:00,69.7,,mgCaCO3/L,, ,,Cloudy,NA,G,,SDWRF,Ambient
EL5.6EC,,Alkalinity,4/4/06 9:40,69.2,,mgCaCO3/L,, ,,Sunny,NA,G,,SDWRF,Ambient
EL5.6EC,,Alkalinity,5/16/06 8:50,54.4,,mgCaCO3/L,, ,,Sunny,NA,G,,SDWRF,Ambient
EL5.6EC,,Alkalinity,6/13/06 9:45,54.4,,mgCaCO3/L,, ,,Partly Cloudy,NA,G,,SDWRF,Ambient
