Disclaimer: Although Stormwater Services makes every effort to ensure data quality in the monitoring program, errors do arise and may not be identified at the time the data was uploaded to this database.  The City of Durham does not assume any liability associated with the use of these data and is not obligated to notify parties of modifications or changes to the database.

Query Results: 
Name:EL10.7EC-EL1.9EC-EL5.0EC-EL5.5GC-EL5.6EC-EL7.1EC-EL7.1SEC-EL7.6SECT-EL7.9EC-EL8.1GC-EL8.2EC-EL8.5SEC-EL8.6SECUT-EL9.9EC-EL-Englewood-EL-Knox 
Medium:Water
Parameters: all 
Project: Ambient
Time Period:2016-05-02 ~ 2022-05-02
Data was downloaded on May 23 2022 11:41 am
The data contains the QA code. 
For Help with QA code, please check http://www.durhamwaterquality.org/QAcode.php

Station Name,Filtered,Parameter,Date/Time,Value,QA Code,Unit,QAQC Sample,Comments,Rain in Last 24 Hours,Sky Condition,Flow Severity,Comp  Code,Thalweg,Lab,Project
"EL8.5SEC","","Alkalinity","2016-05-11 08:40:00","94","","mgCaCO3/L","","Staff Gage:  0.68","No","Partly Cloudy","2","G","Yes","SDWRF","Ambient",
"EL8.5SEC","","Alkalinity","2016-06-15 08:35:00","88","","mgCaCO3/L","","Staff Gage:  0.64; Barely discernable discharge","No","Partly Cloudy","1","G","Yes","SDWRF","Ambient",
"EL8.5SEC","","Alkalinity","2016-07-13 08:35:00","60","","mgCaCO3/L","","Staff Gage:  0.73","Yes","Overcast","2","G","Yes","SDWRF","Ambient",
"EL8.5SEC","","Alkalinity","2016-08-10 08:30:00","90","","mgCaCO3/L","","Staff Gage:  0.56","Yes","Partly Cloudy","3","G","Yes","SDWRF","Ambient",
"EL8.5SEC","","Alkalinity","2016-09-14 08:40:00","110","","mgCaCO3/L","","Duplicate Site; Staff Gage:  0.66 Duplicate","No","Partly Cloudy","2","G","Yes","SDWRF","Ambient",
"EL8.5SEC","","Alkalinity","2016-09-14 08:40:00","110","","mgCaCO3/L","","Duplicate Site; Staff Gage:  0.66 Duplicate","No","Partly Cloudy","2","G","Yes","SDWRF","Ambient",
"EL8.5SEC","","Alkalinity","2016-10-12 08:40:00","48","","mgCaCO3/L","","Staff Gage:  0.72","No","Sunny","2","G","Yes","SDWRF","Ambient",
"EL8.5SEC","","Alkalinity","2016-11-09 09:05:00","26","","mgCaCO3/L","","Staff Gage:  0.90; High stage, merky water","No","Overcast","2","G","Yes","SDWRF","Ambient",
"EL8.5SEC","","Alkalinity","2016-12-08 09:00:00","66","","mgCaCO3/L","","Staff Gage:  0.67","Yes","Overcast","2","G","Yes","SDWRF","Ambient",
"EL8.5SEC","Field","Aluminum","2016-05-11 08:40:00","7","J","ug/L","","Staff Gage:  0.68","No","Partly Cloudy","2","G","Yes","SDWRF","Ambient",
"EL8.5SEC","Field","Aluminum","2016-06-15 08:35:00","6.3","J","ug/L","","Staff Gage:  0.64; Barely discernable discharge","No","Partly Cloudy","1","G","Yes","SDWRF","Ambient",
"EL8.5SEC","Field","Aluminum","2016-07-13 08:35:00","48.3","","ug/L","","Staff Gage:  0.73","Yes","Overcast","2","G","Yes","SDWRF","Ambient",
"EL8.5SEC","Field","Aluminum","2016-08-10 08:30:00","9.4","J","ug/L","","Staff Gage:  0.56","Yes","Partly Cloudy","3","G","Yes","SDWRF","Ambient",
"EL8.5SEC","Field","Aluminum","2016-09-14 08:40:00","6","J","ug/L","","Duplicate Site; Staff Gage:  0.66 Duplicate","No","Partly Cloudy","2","G","Yes","SDWRF","Ambient",
"EL8.5SEC","Field","Aluminum","2016-09-14 08:40:00","5.6","J","ug/L","","Duplicate Site; Staff Gage:  0.66 Duplicate","No","Partly Cloudy","2","G","Yes","SDWRF","Ambient",
"EL8.5SEC","Field","Aluminum","2016-10-12 08:40:00","15.1","","ug/L","","Staff Gage:  0.72","No","Sunny","2","G","Yes","SDWRF","Ambient",
"EL8.5SEC","Field","Aluminum","2016-11-09 09:05:00","18.5","","ug/L","","Staff Gage:  0.90; High stage, merky water","No","Overcast","2","G","Yes","SDWRF","Ambient",
"EL8.5SEC","Field","Aluminum","2016-12-08 09:00:00","16.5","","ug/L","","Staff Gage:  0.67","Yes","Overcast","2","G","Yes","SDWRF","Ambient",
"EL8.5SEC","","Aluminum","2016-05-11 08:40:00","57","","ug/L","","Staff Gage:  0.68","No","Partly Cloudy","2","G","Yes","SDWRF","Ambient",
"EL8.5SEC","","Aluminum","2016-06-15 08:35:00","75.7","","ug/L","","Staff Gage:  0.64; Barely discernable discharge","No","Partly Cloudy","1","G","Yes","SDWRF","Ambient",
"EL8.5SEC","","Aluminum","2016-07-13 08:35:00","353","","ug/L","","Staff Gage:  0.73","Yes","Overcast","2","G","Yes","SDWRF","Ambient",
"EL8.5SEC","","Aluminum","2016-08-10 08:30:00","257","","ug/L","","Staff Gage:  0.56","Yes","Partly Cloudy","3","G","Yes","SDWRF","Ambient",
"EL8.5SEC","","Aluminum","2016-09-14 08:40:00","288","","ug/L","","Duplicate Site; Staff Gage:  0.66 Duplicate","No","Partly Cloudy","2","G","Yes","SDWRF","Ambient",
"EL8.5SEC","","Aluminum","2016-09-14 08:40:00","198","","ug/L","","Duplicate Site; Staff Gage:  0.66 Duplicate","No","Partly Cloudy","2","G","Yes","SDWRF","Ambient",
"EL8.5SEC","","Aluminum","2016-10-12 08:40:00","158","","ug/L","","Staff Gage:  0.72","No","Sunny","2","G","Yes","SDWRF","Ambient",
"EL8.5SEC","","Aluminum","2016-11-09 09:05:00","414","","ug/L","","Staff Gage:  0.90; High stage, merky water","No","Overcast","2","G","Yes","SDWRF","Ambient",
