SubBasin,Type,Cl,SO4,NO3.N,Na,K,Mg,Ca,Ammonia,Phosphate,Temp,Pressure,DO,Conductance,pH,DOC,TDN,Bare,Cultivated,Developed,Forrest,Grass,Impervious,Schrub,Water,Wetland,RoadDensity,PipeDensity,Asian,Black,Hispanic,White,Latitude,Longitude
1,Trib,9.57410484,23.4903008,0.30024748,18.5262151,1.95851403,2.44942876,12.61800893,0.001,0.0206,15.4,752.7,8.73,176,7.41,3.637,0.4265,0,0,66.5,30,0.9,26.6,1.9,0,0.7,8.626763056,4.487414363,7.74,1.72,2.01,88.25,36.0302735,-78.9639518
2,Main,4.29798694,6.03668813,0.32381262,5.34436356,1.59700134,1.94240986,10.89031271,0.001,0.0193,17,754.4,7.76,93.9,6.86,5.637,0.6204,0,0.6,69.2,28.1,0.6,21.7,1.2,0,0.4,13.75589704,5.306478425,4.03,2.02,4.44,88.31,36.027578,-78.954144
3,Main,7.6395769,7.8748034,0.3003671,8.15705344,2.01046285,3.5025868,14.46607547,0.0198,0.0281,16.6,754.8,7.69,139,7.11,5.708,0.5775,0,0.7,78.7,19.2,0.4,27.8,0.8,0,0.3,17.57820674,12.42115739,6.25,0,6.25,87.5,36.0233697,-78.9426366
4,Trib,10.01667442,11.03617229,0.39737892,11.78019868,4.57085838,4.84296976,19.86005102,0.0532,0.0682,17.5,754.8,7.51,193.9,7.27,7.323,0.9704,0,2,85.7,9.7,1.9,14.3,0,0.7,0,9.200860765,4.514816445,4.01,9.89,4.44,81.66,36.0235693,-78.9426446
5,Main,8.2478548,14.3253689,0.26352414,10.88921001,2.52909943,3.69801642,15.09395954,0.0397,0.0626,17.6,754.8,7.84,157.6,7.12,5.221,0.5927,0,1,82,15.1,0.8,23.4,0.5,0.3,0.2,10.01897685,5.360281284,4.26,0.75,2.76,92.23,36.0220844,-78.9364363
6,Main,8.22539082,11.4374093,0.28206524,10.07761637,2.57849339,3.5463397,15.01013021,0.0302,0.0559,17.5,754.8,7.55,151.4,6.94,5.863,0.5933,0,0.9,84.3,13,0.7,23.5,0.4,0.6,0.1,13.71767912,6.229776825,3.02,2.55,3.5,90.93,36.0234795,-78.9287706
6,Trib,24.29734742,15.74646596,0.25885896,13.91447368,4.70839501,3.8963629,21.5022461,0.001,0.0585,16.5,754.6,2.9,223.4,6.71,12.66,0.9232,0,0,99.8,0.2,0,12.6,0,0,0,13.71767912,6.229776825,3.02,2.55,3.5,90.93,36.0232401,-78.92609
7,Main,7.66904264,9.84626981,0.2752469,8.77428577,2.56103518,3.53501542,14.59623782,0.0426,0.0421,18,754.7,7.79,143.6,7.16,5.824,0.5957,0,0.7,86,11.8,0.5,24.2,0.3,0.5,0.1,11.86939668,8.293824432,2.17,6.35,8.82,82.66,36.0304788,-78.9155664
8,Trib,11.8420916,14.96805827,0.49163948,11.40798112,3.45097808,3.67107836,22.26077018,0.0175,0.0462,16.7,754.7,7.04,204.6,7.17,5.292,0.7818,0,0,100,0,0,34.6,0,0,0,15.22388086,10.10497387,5.87,12.16,4.67,77.29,36.016986,-78.914698
9,Trib,10.53743032,12.95477168,0.46939016,10.50617879,2.98386451,4.66229602,21.67874147,0.0205,0.0211,17.9,756.1,7.05,203.8,7.33,5.404,0.7225,0,0,100,0,0,37.2,0,0,0,16.37509511,11.07764843,2.74,33.87,11.51,51.82,36.018084,-78.897706
