Feature,Type,Unit
SubBasin,None,
Type,None,
Cl,Contaminant,mg/L
SO4,Contaminant,mg/L
NO3.N,Contaminant,mg/L
Na,Contaminant,mg/L
K,Contaminant,mg/L
Mg,Contaminant,mg/L
Ca,Contaminant,mg/L
Ammonia,Contaminant,mg/L
Phosphate,Contaminant,mg/L
Temp,Contaminant,C
Pressure,Contaminant,mmHg
DO,Contaminant,mg/L
Conductance,Contaminant,uS/cm
pH,Contaminant,
DOC,Contaminant,mg/L
TDN,Contaminant,mg/L
Bare,Infrastructure,%
Cultivated,Infrastructure,%
Deceloped,Infrastructure,%
Forrest,Infrastructure,%
Grass,Infrastructure,%
Impervious,Infrastructure,%
Schrub,Infrastructure,%
Water,Infrastructure,%
Wetland,Infrastructure,%
RoadDensity,Infrastructure,km/km^2
PipeDensity,Infrastructure,km/km^3
Asian,Demographics,%
Black,Demographics,%
Hispanic,Demographics,%
White,Demographics,%
Latitude,None,
Longitude,None,
