Station Name,Parameter,Year,Value,Unit,Regulation.compliance,Standard
EL8.5SEC,Alkalinity,2016,94,mgCaCO3/L,Acceptable level,250
EL8.5SEC,Alkalinity,2016,88,mgCaCO3/L,Acceptable level,250
EL8.5SEC,Alkalinity,2016,60,mgCaCO3/L,Acceptable level,250
EL8.5SEC,Alkalinity,2016,90,mgCaCO3/L,Acceptable level,250
EL8.5SEC,Alkalinity,2016,110,mgCaCO3/L,Acceptable level,250
EL8.5SEC,Alkalinity,2016,110,mgCaCO3/L,Acceptable level,250
EL8.5SEC,Alkalinity,2016,48,mgCaCO3/L,Acceptable level,250
EL8.5SEC,Alkalinity,2016,26,mgCaCO3/L,Acceptable level,250
EL8.5SEC,Alkalinity,2016,66,mgCaCO3/L,Acceptable level,250
EL8.5SEC,Aluminum,2016,7,ug/L,Acceptable level,87
EL8.5SEC,Aluminum,2016,6.3,ug/L,Acceptable level,87
EL8.5SEC,Aluminum,2016,48.3,ug/L,Acceptable level,87
EL8.5SEC,Aluminum,2016,9.4,ug/L,Acceptable level,87
EL8.5SEC,Aluminum,2016,6,ug/L,Acceptable level,87
EL8.5SEC,Aluminum,2016,5.6,ug/L,Acceptable level,87
EL8.5SEC,Aluminum,2016,15.1,ug/L,Acceptable level,87
EL8.5SEC,Aluminum,2016,18.5,ug/L,Acceptable level,87
EL8.5SEC,Aluminum,2016,16.5,ug/L,Acceptable level,87
EL8.5SEC,Aluminum,2016,57,ug/L,Acceptable level,87
EL8.5SEC,Aluminum,2016,75.7,ug/L,80% - 99% of the acceptable level ,87
EL8.5SEC,Aluminum,2016,353,ug/L,>200% of the acceptable level,87
EL8.5SEC,Aluminum,2016,257,ug/L,>200% of the acceptable level,87
EL8.5SEC,Aluminum,2016,288,ug/L,>200% of the acceptable level,87
EL8.5SEC,Aluminum,2016,198,ug/L,>200% of the acceptable level,87
EL8.5SEC,Aluminum,2016,158,ug/L,100% - 200% the acceptable level,87
EL8.5SEC,Aluminum,2016,414,ug/L,>200% of the acceptable level,87
EL8.5SEC,Aluminum,2016,62,ug/L,Acceptable level,87
EL10.7EC,Ammonia Nitrogen,2017,0.23,mg/L,Acceptable level,17
EL10.7EC,Ammonia Nitrogen,2017,0.21,mg/L,Acceptable level,17
EL10.7EC,Ammonia Nitrogen,2017,0.46,mg/L,Acceptable level,17
EL10.7EC,Ammonia Nitrogen,2017,0.04,mg/L,Acceptable level,17
EL1.9EC,Ammonia Nitrogen,2016,0.12,mg/L,Acceptable level,17
EL1.9EC,Ammonia Nitrogen,2016,0.05,mg/L,Acceptable level,17
EL1.9EC,Ammonia Nitrogen,2016,0.06,mg/L,Acceptable level,17
EL1.9EC,Ammonia Nitrogen,2016,0.09,mg/L,Acceptable level,17
EL1.9EC,Ammonia Nitrogen,2016,0.05,mg/L,Acceptable level,17
EL1.9EC,Ammonia Nitrogen,2016,0.12,mg/L,Acceptable level,17
EL1.9EC,Ammonia Nitrogen,2016,0.11,mg/L,Acceptable level,17
EL1.9EC,Ammonia Nitrogen,2016,0.05,mg/L,Acceptable level,17
EL1.9EC,Ammonia Nitrogen,2016,0.04,mg/L,Acceptable level,17
EL1.9EC,Ammonia Nitrogen,2017,0.08,mg/L,Acceptable level,17
EL1.9EC,Ammonia Nitrogen,2017,0.04,mg/L,Acceptable level,17
EL1.9EC,Ammonia Nitrogen,2017,0.07,mg/L,Acceptable level,17
EL1.9EC,Ammonia Nitrogen,2017,0.07,mg/L,Acceptable level,17
