Name,Latitude,Longitude,Elevation,County/City,Location,Sampling Frequency,Stream Name,Stream Order,River Mile,River Basin,Watershed,Drainage Area,Geology,HUC,State Route,US Station,DS Station,DWQ Ambient,USGS Gage,DENR Index No
BC6.6LBCTA,35.930376,-78.80638,,City,Little Brier Creek Tributary At HWY 70,,Little Brier Creek,1,6.6,Neuse,Brier Creek,0.23,TRc,3020201,,,,,,
CC2.5CC,35.876139,-78.943564,,Durham,Scott King Rd. @ 1st stream crossing near Fayetville Rd.,,Crooked Creek,3rd order,2.5,Cape Fear,Crooked Creek,,,,,CC4.2CC,,,,
CC4.2CC,35.898895,-78.936358,,Durham,Massey Chapel Hill Rd.,,Crooked Creek,3rd order,4.2,Cape Fear,Crooked Creek,,,,,,CC2.5CC,,,
EL10.7EC,36.023777,-78.942741,,Durham,Off Sprunt St. upstrm of trib on main stem,Monthly,Ellerbe Creek,2nd order,10.7,Neuse,Ellerbe Creek,,TRc,3020201,,,,,,
EL1.9EC,36.0597,-78.83268,,,Ellerbe Crk at Glenn Rd.,,Ellerbe Creek,4th order,1.9,Neuse,Ellerbe Creek,21.9,TRc (downstream of Jd),3020201,SR1636,,EL0.9EC,J1330000,2086849,
EL5.0EC,36.028116,-78.864882,,,Ellerbe Crk at Club Blvd,,Ellerbe Creek,4th order,5,Neuse,Ellerbe Creek,,TRc,3020201,,,EL3.9EC,,,
EL5.5GC,36.0247,-78.8607,,,Goose Crk at Camden Ave,,Goose Creek,3rd order,5.5,Neuse,Ellerbe Creek,5,TRc,3020201,,,EL5.0EC,,,
EL5.6EC,36.02212,-78.8704,,,Ellerbe Crk at Midland Terr between Club Blvd & C,,Ellerbe Creek,3rd order,5.6,Neuse,Ellerbe Creek,10.7,TRc,3020201,SR1827,,EL5.0EC,,,
EL7.1EC,36.02,-78.8951,,City,Ellerbe Crk at W Club Blvd and Acadia St,,Ellerbe Creek,,7.1,Neuse,Ellerbe Creek,,,,,,,,,
EL7.1SEC,36.01806,-78.8959,,,South Ellerbe Crk at Glendale Ave.,,South Ellerbe Creek,2nd order,7.1,Neuse,Ellerbe Creek,,TRc,3020201,,,EL6.5EC,,,
EL7.6SECT,36.01282,-78.90183,,, South Ellerbe Crk Trib at Knox St.,,South Ellerbe Creek Trib,2nd order,7.6,Neuse,Ellerbe Creek,,TRc,3020201,,,EL7.1SEC,,,
EL7.9EC,36.02905,-78.90238,,,Ellerbe Crk at Murray Ave.,,Ellerbe Creek,3rd order,7.9,Neuse,Ellerbe Creek,5.2,TRc,3020201,,,,,,
EL8.1GC,35.99464,-78.8844,,,"Goose Crk at Holloway St.
downstream side of culve",,Goose Creek,1st order,8.1,Neuse,Ellerbe Creek,,TRc,3020201,70B,,EL7.7GC,,,
EL8.2EC,36.0337,-78.90788,,Durham,Ellerbe Crk at Stadium Dr. west of Duke St.,,Ellerbe Creek,3rd order,8.2,Neuse,Ellerbe Creek,4.7,TRc,3020201,,,EL7.9EC,,,
EL8.5SEC,36.01678,-78.914773,,,South Ellerbe Crk at Onslow St. and Club Blvd.,,South Ellerbe Creek,1st order,8.5,Neuse,Ellerbe Creek,,TRc,3020201,,,,,,
EL8.6SECUT,36.000188,-78.901156,,,UT South Ellerbe Crk at Corner of Foster and Hunt ,,South Ellerbe Creek Upper Trib,1st order,8.6,Neuse,Ellerbe Creek,,TRc,3020201,,,,,,
EL9.9EC,,,,,Ellerbe Crk at Albany St.,,Ellerbe Creek,3rd order,9.9,Neuse,Ellerbe Creek,,TRc,3020201,,,EL9.5EC,,,
EN10.3WC,36.057539,-78.926387,,,Warren Creek at Just east of Geer St on Horton Rd,,Warren Creek,3rd order,10.3,Neuse,Eno River,,,3020201,,,,,,
EN12.2ERT3,36.06852,-78.957281,,,Trib 3 at 1st stream crossing on November Dr,,Eno River Trib 3,1st order,12.2,Neuse,Eno River,,,3020201,,,,,,
EN13.3ER,36.05958,-78.9779,,,Eno River at Cole Mill Rd,,Eno River,5th order,13.3,Neuse,Eno River,,CZfv (upstream edge CZiv),3020201,SR1401,,EN8.9ER,,,
EN4.9ER,36.07283,-78.86377,,,Eno River at Old Oxford Hwy @ Snow Hill Rd.,,Eno River,5th order,4.9,Neuse,Eno River,148.3,Jd,3020201,SR1004 & SR1631,,none,,,
EN7.7ERT1,36.059,-78.8784,,,Trib 1 at Just west of Old Oxford Hwy on Hebron Rd,,Eno River Trib 1,3rd order,7.7,Neuse,Eno River,,,3020201,,,,,,
EN8.9ER,36.0707,-78.91037,,,Eno River at West Pt. On the Eno @ Roxboro Rd.,,Eno River,5th order,8.9,Neuse,Eno River,140.8,CZfv,3020201,above 501,,EN4.9ER,J0770000,2085070,
EN9.6CRC,36.077784,-78.917915,,,Crooked Creek at Just west of Roxboro Rd on Latta ,,Crooked Creek,3rd order,9.6,Neuse,Eno River,,,3020201,,,,,,
FR13.0FR,36.20027,-78.8862,,,Flat River at State Forest Rd. (SR 1614),,Flat River,4th order,13,Neuse,Flat River,,CZg (CZfv downstream of Cziv),3020201,SR1614,,none,,,
FR5.2FR,36.148611,-78.828889,,,Flat River at dam near Bahama,,Flat River,4th order,5.2,Neuse,Flat River,,Cz,3020201,,,,,,
LC1.1LC,35.97811,-78.74988,,,Lick Crk at Southview Rd south of Hwy 98,,Lick Creek,3rd order,1.1,Neuse,Lick Creek,10,TRc,3020201,SR1809,,none,,,
LC2.0RBC,35.9636,-78.75422,,,Rocky Branch Crk at Kemp Rd @ intersection with So,,Rocky Branch Creek,3rd order,2,Neuse,Lick Creek,,TRc,3020201,SR1902 & SR1809,,none,,,
LITC1.5LITC,35.887472,-78.984604,,Durham,Upstream of bridge at throat of spillway,,Little Creek,,,Cape Fear,Little,,,,,,,,,
LL1.6CPC,36.002754,-78.80017,,Durham,Fletchers Chapel Hill Rd.,,Chunky Pipe Creek,3rd order,1.6,Neuse,Little Lick Creek,,,,,,,,,
LL2.3LLUT,35.985628,-78.801617,,Durham,Stallings Rd.  Trib on access road to old waste treatment plant.,,Little Lick Creek Unnamed Trib,3rd order,2.3,Neuse,Little Lick Creek,,,,,,,,,
LL3.4LLC,35.98517,-78.81956,,Durham,Little Lick Crk at Mineral Springs Rd,Monthly,Little Lick Creek,4th order,3.4,Neuse,Little Lick Creek,5.8,TRc,3020201,SR1815,LL2.2LLC,,,,
LL4.6LLT2,35.98119,-78.84166,,Durham,Little Lick Trib 2 at Lynn Rd.,Monthly,Little Lick Creek Trib 2,3rd order,4.6,Neuse,Little Lick Creek,1.8,TRc,3020201,,,LL3.4LLC,,,
LR2.7CBC,36.093512,-78.866295,,Durham,Snow Hill Rd. near Durham Tech campus.,,Cabin Branch Creek,3rd order,2.7,Neuse,Little River,,,,,,,,,
LR4.6CBC,36.0947,-78.886,,,Glenoaks Dr,,Cabin Branch,,,,,,,,,,,,,
LR9.6LR,36.141732,-78.920265,,,Little River at Just South of intersection of Patrick Rd,,Little River,4th order,9.6,Neuse,Little River,77.8,Cz,3020201,SR1461,,,J0820000,,
NE0.0NE,35.8867,-78.8997,,,Northeast Crk at Sedwick Rd. SR1102,,Northeast Creek,3rd order,,Cape Fear,Northeast Creek,13.1,TRc,3030002,SR1102,,NE0.0DNE,,,
NE0.0NETD,,,,,Northeast Crk Trib D at Scott King Rd.,,Northeast Creek Trib D,3rd order,,Cape Fear,Northeast Creek,,TRc,3030002,,,NECHATHAMNE,,,
NE1.2NE,35.902831,-78.900454,,,"Northeast Crk at Hwy 54, N side of bridge (near 55)",,Northeast Creek,3rd order,1.2,Cape Fear,Northeast Creek,,TRc,3030002,54,,NE0.8NE,,,
NE2.2NP,35.910441,-78.895253,,,Northeast Crk North Prong at Meridian Parkway upst,,Northeast Creek North Prong,2nd order,2.2,Cape Fear,Northeast Creek,,TRc,3030002,,,NE1.5NE,,,
NE3.3NP,35.928272,-78.893501,,Durham,Odssey Dr.,,North Prong Creek,3rd order,3.3,Cape Fear,Northeast Creek,,,,,,NE1.2NE,,,
NH0.0NHC,35.943371,-78.975268,,,New Hope Crk at Chapel Hill Rd.,,New Hope Creek,4th order,,Cape Fear,New Hope Creek,,TRc,3030002,SR2220,,NHDWQc,,,
NH1.0SC,35.957199,-78.97374,,,Sandy Crk at Garrett Rd.,,Sandy Creek,3rd order,1,Cape Fear,New Hope Creek,6.8,TRc,3030002,,,NH0.0NHC,,,
NH1.7SCTA,35.958979,-78.963796,,Durham,Sandy Crk Trib A at Ivy Creek Blvd.,,Sandy Creek Trib A,2nd order,1.7,Cape Fear,New Hope Creek,,,,,,,,,
NH2.3MC,35.97516,-78.984493,,,Mud Crk at Pickett Rd.,,Mud Creek,3rd order,2.3,Cape Fear,New Hope Creek,5.3,TRc,3030002,,,NH1.2NHC,,,
NH3.0NHC,35.979599,-79.001621,,,New Hope Crk at Erwin Rd.,,New Hope Creek,4th order,3,Cape Fear,New Hope Creek,,TRc,3030002,SR1734 SR1737 SR1306,,NH1.2NHC,,,
NH3.3SC,35.983326,-78.956954,,,Sandy Crk at Cornwallis Rd. (Just east of 15/501),,Sandy Creek,3rd order,3.3,Cape Fear,New Hope Creek,,TRc,3030002,SR1308,,NH2.5SC,,,
