Date,EL1.9EC,EL5.5GC,EL5.6EC,EL7.1EC,EL7.1SEC,EL8.1GC,EL8.5SEC,EL8.6SECUT
1/1/2004,90,,,,,83,,
1/20/2004,90,,,,,83,,
2/1/2004,91,,,,,,,
2/10/2004,91,,,,,,,
3/1/2004,48,,,,,46,,
3/16/2004,48,,,,,46,,
4/1/2004,66,,,,,55,,
4/27/2004,66,,,,,55,,
5/1/2004,78,,,,,68,,
5/25/2004,78,,,,,68,,
6/1/2004,,,,,,53,,
6/15/2004,,,,,,53,,
7/1/2004,47,,,,,44,,
7/13/2004,47,,,,,44,,
8/1/2004,70,,,,,71,,
8/17/2004,70,,,,,71,,
9/1/2004,,,,,,64,,
9/14/2004,,,,,,64,,
10/1/2004,94,,,,,73,,
10/12/2004,94,,,,,73,,
11/1/2004,87,,,,,74,,
11/9/2004,87,,,,,74,,
12/1/2004,87,,,,,68,,
12/7/2004,87,,,,,68,,
1/1/2005,85,,,,,96,,
1/10/2005,85,,,,,96,,
2/1/2005,93,,86,,78,70,,
2/22/2005,93,,86,,78,70,,
3/1/2005,71,,54,,50,,,
3/8/2005,71,,54,,50,,,
4/1/2005,85,,88,,80,84,,
4/12/2005,85,,88,,80,84,,
5/1/2005,78,,69,,52,66,,
5/17/2005,78,,69,,52,66,,
6/1/2005,88,,85,,49,,,
6/14/2005,88,,85,,49,,,
7/1/2005,76,,85,,82,83,,
7/12/2005,76,,85,,82,83,,
8/1/2005,,,,,,,,
8/16/2005,,,,,,,,
9/1/2005,93,,98,,53,68,,
9/13/2005,93,,98,,53,68,,
10/1/2005,74,,78,,63,54,,
10/11/2005,74,,78,,63,54,,
11/1/2005,82,,99,,95,87,,
11/8/2005,82,,99,,95,87,,
12/1/2005,64,,67,,64,74,,
12/6/2005,64,,67,,64,74,,
1/1/2006,87,,100,,84,74,,
1/10/2006,87,,100,,84,74,,
2/1/2006,78,,79,,66,83,,
2/7/2006,78,,79,,66,83,,
3/1/2006,92,,100,,99,60,,
3/14/2006,92,,100,,99,60,,
4/1/2006,81,,66,,42,61,,
4/4/2006,81,,66,,42,61,,
5/1/2006,,,80,,,79,,
5/16/2006,,,80,,,79,,
6/1/2006,71,,80,,53,79,,
6/13/2006,71,,80,,53,79,,
7/1/2006,80,,86,,81,71,,
7/18/2006,80,,86,,81,71,,
8/1/2006,52,,86,,80,50,,
8/8/2006,52,,86,,80,50,,
9/1/2006,78,,87,,71,77,,
9/12/2006,78,,87,,71,77,,
10/1/2006,77,,85,,83,76,,
10/10/2006,77,,85,,83,76,,
11/1/2006,90,,97,,98,,,
11/7/2006,90,,97,,98,,,
12/1/2006,,,96,,,,,
12/6/2006,,,96,,,,,
1/1/2007,,,,,,82,,
1/9/2007,,,,,,82,,
2/6/2007,,,,,,,,
3/1/2007,,,87,,,,,
3/20/2007,,,87,,,,,
4/1/2007,,,,,,,,
5/1/2007,,,,,,84,,
5/15/2007,,,,,,84,,
6/1/2007,74,,61,,47,65,,
6/26/2007,74,,61,,47,65,,
7/1/2007,,,,,62,,,
7/10/2007,,,,,62,,,
8/1/2007,,,95,,58,,,
8/7/2007,,,95,,58,,,
9/1/2007,,,70,,56,,,
9/26/2007,,,70,,56,,,
10/1/2007,,,99,,87,,,
10/16/2007,,,99,,87,,,
11/1/2007,,,,,,87,,
11/6/2007,,,,,,87,,
12/1/2007,,,98,,,,,
12/5/2007,,,98,,,,,
1/1/2008,,,,,,99,,
1/15/2008,,,,,,99,,
2/1/2008,87,,99,,98,100,,
2/12/2008,87,,99,,98,100,,
3/1/2008,,,,,,,,
3/13/2008,,,,,,,,
4/1/2008,,,,,,,,
4/8/2008,,,,,,,,
5/1/2008,,,,,,71,,
5/6/2008,,,,,,71,,
6/1/2008,87,,95,,66,40,,
6/10/2008,87,,95,,66,40,,
7/1/2008,74,,75,,76,,,
7/17/2008,74,,75,,76,,,
8/1/2008,69,,70,,47,64,,
8/12/2008,69,,70,,47,64,,
9/1/2008,69,,,,78,93,,
9/9/2008,69,,,,78,93,,
10/1/2008,83,,96,,86,85,,
10/7/2008,83,,96,,86,85,,
11/1/2008,76,,97,,99,96,,
11/12/2008,76,,97,,99,96,,
12/1/2008,90,,85,,88,80,,
12/4/2008,90,,85,,88,80,,
1/1/2009,67,,52,,58,36,,
1/6/2009,67,,52,,58,36,,
2/1/2009,90,,,,84,95,,
2/10/2009,90,,,,84,95,,
3/1/2009,72,,74,,76,72,,
3/17/2009,72,,74,,76,72,,
4/1/2009,88,,97,,99,92,,
4/14/2009,88,,97,,99,92,,
5/1/2009,70,,86,,76,72,,
5/12/2009,70,,86,,76,72,,
6/1/2009,43,,57,,51,41,,
6/10/2009,43,,57,,51,41,,
7/1/2009,55,,64,,57,62,,
7/14/2009,55,,64,,57,62,,
8/1/2009,74,,71,,59,80,,
8/11/2009,74,,71,,59,80,,
9/1/2009,91,,98,,63,86,,
9/15/2009,91,,98,,63,86,,
10/1/2009,75,,64,,64,57,,
10/13/2009,75,,64,,64,57,,
11/1/2009,80,,100,,99,88,,
11/10/2009,80,,100,,99,88,,
12/1/2009,,,,,,,,
1/12/2010,,,,,,,,
2/1/2010,79,81,71,,70,75,,
2/16/2010,79,81,71,,70,75,,
3/1/2010,87,98,77,,,95,,
3/9/2010,87,98,77,,,95,,
4/1/2010,98,96,91,,82,69,,
4/13/2010,98,96,91,,82,69,,
5/1/2010,,,,,,,,
5/4/2010,,,,,,,,
6/1/2010,,,,,,,,
6/15/2010,,,,,,,,
7/1/2010,49,49,55,,31,32,,
7/13/2010,49,49,55,,31,32,,
8/1/2010,74,58,64,,45,85,,
8/10/2010,74,58,64,,45,85,,
9/1/2010,88,94,94,,48,72,,
9/14/2010,88,94,94,,48,72,,
10/1/2010,92,81,97,,85,86,,
10/12/2010,92,81,97,,85,86,,
11/1/2010,90,96,99,,85,85,,
11/9/2010,90,96,99,,85,85,,
12/1/2010,91,89,87,,93,96,,
12/7/2010,91,89,87,,93,96,,
1/1/2011,73,92,73,,,78,62,71
1/18/2011,73,,73,,,,62,71
1/19/2011,,92,,,,78,,
2/1/2011,87,99,96,,,100,98,60
2/15/2011,87,,96,,,,98,60
2/16/2011,,99,,,,100,,
3/1/2011,90,73,92,,,74,79,79
3/15/2011,90,,92,,,,79,79
3/16/2011,,73,,,,74,,
4/1/2011,,96,,,,98,,
4/12/2011,,,,,,,,
4/13/2011,,96,,,,98,,
5/1/2011,,,,,,,,55
5/11/2011,,,,,,,,55
5/12/2011,,,,,,,,
6/1/2011,87,,94,,,,74,37
6/7/2011,87,,94,,,,74,37
6/8/2011,,,,,,,,
7/1/2011,,85,,,,85,,
7/12/2011,,,,,,,,
7/13/2011,,85,,,,85,,
8/1/2011,,,,,,,,66
8/16/2011,,,,,,,,66
8/17/2011,,,,,,,,
9/1/2011,74,92,97,,,85,83,65
9/13/2011,74,,97,,,,83,65
9/14/2011,,92,,,,85,,
10/1/2011,83,,78,,,,69,14
10/11/2011,83,,78,,,,69,14
10/12/2011,,,,,,,,
11/1/2011,87,,94,,,,84,66
11/9/2011,87,,94,,,,84,66
11/10/2011,,,,,,,,
12/1/2011,,,,,,,,
12/6/2011,,,,,,,,
12/7/2011,,,,,,,,
1/1/2012,,,,,,,,
1/25/2012,,,,,,,,
2/1/2012,77,,,,,,,67
2/21/2012,77,,,,,,,67
3/1/2012,,,,,,,,51
3/20/2012,,,,,,,,51
4/1/2012,,,,,,,,76
4/17/2012,,,,,,,,76
5/22/2012,,,,,,,,
6/1/2012,85,,,,,,,74
6/19/2012,85,,,,,,,74
7/1/2012,,,,,,,,70
7/17/2012,,,,,,,,70
8/1/2012,,,,,,,,49
8/21/2012,,,,,,,,49
9/1/2012,,,,,,,,
9/25/2012,,,,,,,,
10/1/2012,87,,,,,,,60
10/23/2012,87,,,,,,,60
11/1/2012,87,,,,,,,63
11/13/2012,87,,,,,,,63
12/1/2012,,,,,,,,
12/11/2012,,,,,,,,
1/1/2013,87,97,86,,78,73,,66
1/15/2013,87,97,86,,78,73,,66
2/1/2013,85,81,95,,74,80,,76
2/12/2013,85,81,95,,74,80,,76
3/1/2013,86,57,63,,49,51,,60
3/12/2013,86,57,63,,49,51,,60
4/1/2013,76,94,92,,53,48,,78
4/16/2013,76,94,92,,53,48,,78
5/1/2013,74,70,78,,72,75,,79
5/8/2013,74,70,78,,72,75,,79
