SUBBA,Bare,Cultivated,Developed,Undeveloped,Forrest,Grass,Impervious,Schrub,Water,Wetland,Asian,Black,Hispanic,White
1,0,0,66.5,33.5,30,0.9,26.6,1.9,0,0.7,7.74,1.72,2.01,88.25
2,0,0.6,69.2,30.8,28.1,0.6,21.7,1.2,0,0.4,4.03,2.02,4.44,88.31
3,0,0.7,78.7,21.3,19.2,0.4,27.8,0.8,0,0.3,6.25,0,6.25,87.5
4,0,2,85.7,14.3,9.7,1.9,14.3,0,0.7,0,4.01,9.89,4.44,81.66
5,0,1,82,18,15.1,0.8,23.4,0.5,0.3,0.2,4.26,0.75,2.76,92.23
6,0,0,99.8,0.2,0.2,0,12.6,0,0,0,3.02,2.55,3.5,90.93
7,0,0.7,86,14,11.8,0.5,24.2,0.3,0.5,0.1,2.17,6.35,8.82,82.66
8,0,0,100,0,0,0,34.6,0,0,0,5.87,12.16,4.67,77.29
9,0,0,100,0,0,0,37.2,0,0,0,2.74,33.87,11.51,51.82
10,0,0.8,85.4,14.6,12.6,0.4,23.8,0.3,0.4,0.1,2.32,24.25,12.21,61.22
11,0,0.7,85,15,12.9,0.5,23.8,0.3,0.4,0.2,1.11,46.59,16.55,35.74
12,0,0.7,85.7,14.3,12.3,0.4,23.1,0.2,0.4,0.2,0.7,31.42,13.46,54.42
13,0,0,99.8,0.2,0.2,0,35.9,0,0,0,3.24,5.9,6.4,84.43
14,0,0,100,0,0,0,48.1,0,0,0,3.24,11.76,4.12,80.88
15,0,0.4,90.7,9.3,7.9,0.3,27,0.2,0.2,0.3,1.43,32.23,8.75,57.59
16,0.6,0.6,88.2,11.8,8.5,0.4,25.9,0.2,0.2,1.3,1.04,51.17,13.12,34.68
17,0,0,86.8,13.2,12,1.2,13.5,0,0,0,0.74,65.19,12.52,21.55
18,0,0,100,0,0,0,40.1,0,0,0,0.38,79.57,13.29,6.73
19,0,0,100,0,0,0,38.4,0,0,0,1.12,60.38,13.94,24.46
20,0,0,98.6,1.4,1.4,0,28.2,0,0,0,0.75,77.54,18.15,3.46
21,0,0,76.6,23.4,22.5,0.4,23.8,0,0,0.5,0.78,69.31,21.08,8.73
22,0,0,98.5,1.5,1.3,0,28.5,0,0,0.2,0.39,72.24,24.83,2.36
23,0,0,93.9,6.1,4.6,0.1,36.6,0,0,1.4,0.26,52.89,13.95,32.89
24,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.28,62.29,8.66,28.77
25,0,0,66.9,33.1,14.2,3.8,15.6,15.1,0,0,0.75,62.48,12.71,24.07
26,0,0,91,9,7.1,0.2,30.1,0,0,1.8,0.46,82.76,9.56,7.22
27,0.4,0.5,85.6,14.4,9.3,0.8,25.9,1.5,0.2,1.8,0,64.91,14.04,21.05
27,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,64.91,14.04,21.05
28,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,53.37,22.47,24.16
29,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.54,70.8,7.55,21.11
30,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.1,61.56,10.51,25.83
31,0.3,1.9,74.6,25.4,15.4,2,21.8,1.9,0.2,3.8,0.71,56.43,16.07,26.79
32,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.72,54.31,18.1,25.86
33,0.3,2.8,68.7,31.3,19.1,2.7,20,1.9,0.2,4.3,0,48.86,9.09,42.05
