SITE,Longitude,Latitude
1.2,-78.96371868,36.03023925
2.1,-78.95393374,36.02739396
3.1,-78.94135291,36.02226169
4.2,-78.94252892,36.02351998
5.1,-78.93646368,36.02207885
6.1,-78.92863331,36.02338254
6.2,-78.92589851,36.02299736
7.1,-78.91559195,36.03045324
8.2,-78.95375831,36.00887772
9.2,-78.89766666,36.01805448
11.1,-78.91570906,36.03053468
12.1,-78.8942204,36.01848088
13.2,-78.89997694,36.01583301
15.1,-78.8840977,36.01587791
16.1,-78.8710622,36.02154366
17.2,-78.87541202,36.02408123
18.2,-78.88432556,35.99416508
19.2,-78.88057989,36.00428005
20.2,-78.87276769,36.00234683
21.2,-78.86765057,36.01134455
22.2,-78.869859,36.00833714
23.2,-78.87357253,36.01206975
24.2,-78.86067759,36.02434452
25.2,-78.85394308,36.01783843
26.2,-78.85853109,36.02343093
27.1,-78.86488496,36.02818888
27.2,-78.859887,36.03616002
27.3,-78.8621502,36.03059746
29.1,-78.85769857,36.04046891
29.2,-78.85795078,36.04067594
31.1,-78.83268201,36.05964873
32.2,-78.82707872,36.05229661
33.1,-78.81732848,36.05984706
