"","SITE","DATE","NH4-N.(mg/L)","PO4-P","DOC.(mg/L)","TDN.(mg/L)","Cl.(mg/L)","SO4.(mg/L)","Br.(mg/L)","NO3-N.(mg/L)","Temp..C.","SPC..uS.cm.","Pressure..mmHg.","DO....","DO..mg.L.","pH","Longitude","Latitude","E.Coli (CFU per 100mL)"
"1",12.1,2021-12-10,NA,0.0323,6.401,0.1963,14.71762848,20.35820994,0.64387996,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2",12.1,2021-12-23,NA,0.0337,6.127,0.3283,7.39702726,10.05363358,0.32683998,0.10897996,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3",12.1,2022-01-07,NA,0.0231,6.97,0.5404,9.78418602,12.61713712,0.3477614,0.26108218,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4",12.1,2022-01-14,NA,0.0252,5.22,0.444,12.68771802,14.52022054,0.40086962,0.23578982,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5",12.1,2022-01-21,0.0165,0.0569,6.766,0.6411,56.1931598,9.06533704,0.23188892,0.30632998,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6",12.1,2022-01-28,NA,0.0234,4.451,0.4429,83.62897526,17.13973144,0.42340038,0.24541948,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7",12.1,2022-02-18,0.901,0.0325,5.805,1.381,44.43072394,20.52467626,0.53927286,0.2327733,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8",12.1,2022-02-25,0.0894,0.0525,7.425,0.8109,32.60367026,10.15475798,0.28499714,0.33336264,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9",31.1,2021-12-10,2.1,0.0247,9.428,6.004,49.6730225,52.92921236,0.10072771,3.38782118,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10",31.1,2021-12-23,0.0104,0.0254,7.025,2.393,35.98343844,44.63001064,0.06129888,1.86320236,NA,NA,NA,NA,NA,NA,NA,NA,NA
"11",31.1,2022-01-07,0.0322,0.0133,7.783,3.059,32.76251054,46.81818708,0.51835144,2.61744838,NA,NA,NA,NA,NA,NA,NA,NA,NA
"12",31.1,2022-01-14,0.0272,0.025,7.092,3.317,38.5100806,45.68131546,0.0661269,2.84473156,NA,NA,NA,NA,NA,NA,NA,NA,NA
"13",31.1,2022-01-21,0.0308,0.0313,7.358,1.642,47.23861018,22.069157,0.38638556,1.23588222,NA,NA,NA,NA,NA,NA,NA,NA,NA
"14",31.1,2022-01-28,0.0792,0.0121,7.656,3.481,63.09161024,44.85442902,0.54007753,2.94508886,NA,NA,NA,NA,NA,NA,NA,NA,NA
