"","Station","Date","WQI","Copper.CCC","Zinc.CCC","Fecal.Coliform.cfu.100mL.","Dissolved.Oxygen.mg.L.","Nitrate...Nitrite.as.N.mg.L.","Copper.ug.L.","Biochemical.Oxygen.Demand.mg.L.","Turbidity.NTU.","Total.Kjeldahl.Nitrogen.mg.L.","Zinc.ug.L.","Total.Phosphorus.mg.L.","Hardness.mg.L."
"1","EL1.9EC","2004-01-20","90","5.79",76.63,81,10.66,1.3,2.5,1,7.08,0.25,16,0.12,60
"2","EL1.9EC","2004-02-10","91","5.79",76.63,62,12.29,2.9,2.5,1,9.14,0.6,24,0.03,60
"3","EL1.9EC","2004-03-16","48","4.95",65.66,6000,10.37,1.1,8.7,6,126,0.8,16,0.29,50
"4","EL1.9EC","2004-04-27","66","8.96",118.14,6000,7.38,1.5,2.5,4,18.7,0.7,11,0.09,100
"5","EL1.9EC","2004-05-25","78","5.79",76.63,504,7.26,1.8,2.5,1,13.6,0.25,16,0.07,60
"6","EL1.9EC","2004-06-15","","4.95",65.66,112,5.14,2.4,2.5,1,NA,0.6,19,0.13,50
"7","EL1.9EC","2004-07-13","47","3.20",42.59,49000,5.78,1.5,5,4,26.4,0.6,5,0.1,30
"8","EL1.9EC","2004-08-17","70","4.95",65.66,520,8.63,2.7,2.5,1,23.3,0.25,5,1.28,50
"9","EL1.9EC","2004-09-14","","5.79",76.63,189,7.03,1.9,2.5,1,3.55,0.5,NA,0.09,60
"10","EL1.9EC","2004-10-12","94","6.60",87.33,150,7.7,0.1,2.5,1,3.15,0.5,5,0.09,70
"11","EL1.9EC","2004-11-09","87","5.79",76.63,131,7.54,1.7,2.5,1,2.5,0.25,29,0.07,60
"12","EL1.9EC","2004-12-07","87","5.79",76.63,82,9.07,1.4,2.5,1,18.3,0.6,23,0.12,60
"13","EL1.9EC","2005-01-10","85","6.60",87.33,131,7.52,1.7,2.5,1,3.98,0.25,29,0.09,70
"14","EL1.9EC","2005-02-22","93","7.40",97.79,92,9.37,0.9,2.5,1,4.6,0.25,30,0.07,80
"15","EL1.9EC","2005-03-08","71","8.18",108.05,880,10.38,0.7,2.5,3,65.3,0.6,10,0.06,90
"16","EL1.9EC","2005-04-12","85","7.40",97.79,131,8.55,1.4,2.5,1,16.1,0.7,20,0.33,80
"17","EL1.9EC","2005-05-17","78","6.68",88.38,230,6.93,0.7,2.5,1,4.73,0.5,44,0.83,71
"18","EL1.9EC","2005-06-14","88","6.60",87.33,131,7.7,1.3,2.5,1,6.16,0.25,19,0.18,70
"19","EL1.9EC","2005-07-12","76","5.79",76.63,220,7.71,1,2.5,1,5.6,1.2,22,0.14,60
"20","EL1.9EC","2005-08-16","","6.60",87.33,420,7.03,1.7,2.5,1,10.1,0.25,5,NA,70
"21","EL1.9EC","2005-09-13","93","4.95",65.66,80,7.4,0.8,2.5,1,3.23,0.25,18,0.08,50
"22","EL1.9EC","2005-10-11","74","5.79",76.63,262,5.74,2.2,2.5,1,6.5,0.25,15,0.15,60
"23","EL1.9EC","2005-11-08","82","4.95",65.66,250,6.54,0.6,2.5,1,2.12,0.25,34,0.06,50
"24","EL1.9EC","2005-12-06","64","4.09",54.35,2600,10.69,0.9,2.5,3,51.3,1,5,0.5,40
