"","Station Name","Filtered","Parameter","Date/Time","Value","QA Code","Unit","QAQC Sample","Comments","Rain in Last 24 Hours","Sky Condition","Flow Severity","Comp  Code","Thalweg","Lab","Project"
"1","EL1.9EC",NA,"pH","2009-01-06 09:30:00",7.6,"","",NA,"Comment to test if automatic upload works","Yes","Partly Cloudy",NA,"G","Yes","SDWRF","Ambient"
"2","EL1.9EC",NA,"pH","2009-02-10 09:55:00",7.9,"","",NA,"","No","Partly Cloudy",NA,"G","Yes","SDWRF","Ambient"
"3","EL1.9EC",NA,"pH","2009-03-17 09:20:00",8.1,"","",NA,"","No","Partly Cloudy",NA,"G","Yes","SDWRF","Ambient"
"4","EL1.9EC",NA,"pH","2009-04-14 09:00:00",7.7,"","",NA,"","No","Partly Cloudy",NA,"G","Yes","SDWRF","Ambient"
"5","EL1.9EC",NA,"pH","2009-05-12 09:25:00",7.8,"","",NA,"","No","Sunny",NA,"G","Yes","SDWRF","Ambient"
"6","EL1.9EC",NA,"pH","2009-06-10 08:15:00",7.73,"","",NA,"","No","Partly Cloudy",NA,"G","Yes","SDWRF","Ambient"
"7","EL1.9EC",NA,"pH","2009-07-14 09:00:00",7.2,"","",NA,"","No","Sunny",NA,"G","Yes","SDWRF","Ambient"
"8","EL1.9EC",NA,"pH","2009-08-11 08:25:00",7.28,"","",NA,"","No","Sunny",NA,"G","Yes","SDWRF","Ambient"
"9","EL1.9EC",NA,"pH","2009-09-15 09:50:00",7.8,"","",NA,"","No","Sunny",NA,"G","Yes","SDWRF","Ambient"
"10","EL1.9EC",NA,"pH","2009-10-13 08:43:00",8.4,"","",NA,"","No","Cloudy",NA,"G","Yes","SDWRF","Ambient"
"11","EL1.9EC",NA,"pH","2009-11-10 08:55:00",7.76,"","",NA,"","Yes","Partly Cloudy",NA,"G","Yes","SDWRF","Ambient"
"12","EL1.9EC",NA,"pH","2009-12-01 09:18:00",7.9,"","",NA,"","Yes","Sunny",NA,"G","Yes","SDWRF","Ambient"
"13","EL1.9EC",NA,"pH","2010-01-12 09:10:00",8,"","",NA,"pH pen malfunctioned when original data was collected, so corrected pH was taken at 1300.","No","Partly Cloudy",NA,"G","Yes","SDWRF","Ambient"
"14","EL1.9EC",NA,"pH","2010-02-16 08:55:00",8,"","",NA,"","No","Sunny",NA,"G","Yes","SDWRF","Ambient"
"15","EL1.9EC",NA,"pH","2010-03-09 09:10:00",8.24,"","",NA,"","No","Sunny",NA,"G","Yes","SDWRF","Ambient"
"16","EL1.9EC",NA,"pH","2010-04-13 08:46:00",7.8,"","",NA,"Nutrient loading study duplicate NLSD-05 collected at same time as ambient sample","No","Sunny",NA,"G","Yes","SDWRF","Ambient"
"17","EL1.9EC",NA,"pH","2010-06-15 09:10:00",7.5,"","",NA,"","No","Sunny",NA,"G","Yes","SDWRF","Ambient"
"18","EL1.9EC",NA,"pH","2010-07-13 09:05:00",8,"","",NA,"","Yes","Partly Cloudy",NA,"G","Yes","SDWRF","Ambient"
"19","EL1.9EC",NA,"pH","2010-08-10 08:45:00",7.6,"","",NA,"","No","Sunny",NA,"G","Yes","SDWRF","Ambient"
"20","EL1.9EC",NA,"pH","2010-09-14 08:50:00",7.9,"","",NA,"","No","Sunny",NA,"G","Yes","SDWRF","Ambient"
