"","Station.Name","Filtered","Parameter","Date.Time","Value","QA.Code","Unit","QAQC.Sample","Comments","Rain.in.Last.24.Hours","Sky.Condition","Flow.Severity","Comp..Code","Thalweg","Lab","Project"
"1","EL8.5SEC","No","Alkalinity","2016-03-16 08:46:00",78,"","","","Staff Gage:  0.72","No","Sunny",2,"G","Yes","SDWRF","Ambient"
"2","EL1.9EC","","Alkalinity","2006-02-07 09:10:00",61.2,"","mgCaCO3/L","","","","Partly Cloudy",NA,"G","","SDWRF","Ambient"
"3","EL1.9EC","","Alkalinity","2006-03-14 09:25:00",61.4,"","mgCaCO3/L","","","","Partly Cloudy",NA,"G","","SDWRF","Ambient"
"4","EL1.9EC","","Alkalinity","2006-04-04 09:47:00",76.9,"","mgCaCO3/L","","","","Sunny",NA,"G","","SDWRF","Ambient"
"5","EL1.9EC","","Alkalinity","2006-05-16 09:05:00",46.5,"","mgCaCO3/L","","","","Sunny",NA,"G","","SDWRF","Ambient"
"6","EL1.9EC","","Alkalinity","2006-06-13 09:26:00",51.3,"","mgCaCO3/L","","","","Cloudy",NA,"G","","SDWRF","Ambient"
"7","EL1.9EC","","Alkalinity","2006-07-18 09:50:00",64.4,"","mgCaCO3/L","","","","Sunny",NA,"G","","SDWRF","Ambient"
"8","EL1.9EC","","Alkalinity","2006-08-08 09:35:00",47.5,"","mgCaCO3/L","","","","Sunny",NA,"G","","SDWRF","Ambient"
"9","EL1.9EC","","Alkalinity","2006-09-12 09:00:00",52.4,"","mgCaCO3/L","","","","Cloudy",NA,"G","","SDWRF","Ambient"
"10","EL1.9EC","","Alkalinity","2006-10-10 09:53:00",60,"","mgCaCO3/L","","","","Sunny",NA,"G","","SDWRF","Ambient"
"11","EL1.9EC","","Alkalinity","2006-11-07 09:15:00",39.1,"","mgCaCO3/L","","","","Partly Cloudy",NA,"G","","SDWRF","Ambient"
"12","EL1.9EC","","Alkalinity","2006-12-06 09:18:00",53.6,"","mgCaCO3/L","","","","Cloudy",NA,"G","","SDWRF","Ambient"
"13","EL1.9EC","","Alkalinity","2007-10-16 09:55:00",41.8,"","mgCaCO3/L","","","","Sunny",NA,"G","","SDWRF","Ambient"
"14","EL1.9EC","","Alkalinity","2007-11-06 09:40:00",40.8,"","mgCaCO3/L","","","","Partly Cloudy",NA,"G","","SDWRF","Ambient"
"15","EL1.9EC","","Alkalinity","2007-12-05 09:25:00",40.6,"","mgCaCO3/L","","","","Cloudy",NA,"G","","SDWRF","Ambient"
"16","EL1.9EC","","Alkalinity","2008-01-15 09:38:00",47.6,"","mgCaCO3/L","","","","Sunny",NA,"G","","SDWRF","Ambient"
"17","EL1.9EC","","Alkalinity","2008-02-12 10:10:00",83.8,"","mgCaCO3/L","","","","Cloudy",NA,"G","","SDWRF","Ambient"
"18","EL1.9EC","","Alkalinity","2008-03-13 09:22:00",64.6,"","mgCaCO3/L","","","","Sunny",NA,"G","","SDWRF","Ambient"
"19","EL1.9EC","","Alkalinity","2008-04-08 09:45:00",66,"","mgCaCO3/L","","","","Partly Cloudy",NA,"G","","SDWRF","Ambient"
"20","EL1.9EC","","Alkalinity","2008-05-06 08:55:00",73.7,"","mgCaCO3/L","","","","Sunny",NA,"G","","SDWRF","Ambient"
"21","EL5.6EC","","Alkalinity","2006-02-07 09:10:00",61.3,"","mgCaCO3/L","","","","Partly Cloudy",NA,"G","","SDWRF","Ambient"
"22","EL5.6EC","","Alkalinity","2006-03-14 10:00:00",69.7,"","mgCaCO3/L","","","","Cloudy",NA,"G","","SDWRF","Ambient"
"23","EL5.6EC","","Alkalinity","2006-04-04 09:40:00",69.2,"","mgCaCO3/L","","","","Sunny",NA,"G","","SDWRF","Ambient"
"24","EL5.6EC","","Alkalinity","2006-05-16 08:50:00",54.4,"","mgCaCO3/L","","","","Sunny",NA,"G","","SDWRF","Ambient"
"25","EL5.6EC","","Alkalinity","2006-06-13 09:45:00",54.4,"","mgCaCO3/L","","","","Partly Cloudy",NA,"G","","SDWRF","Ambient"
"26","EL5.6EC","","Alkalinity","2006-07-18 10:11:00",69.7,"","mgCaCO3/L","","","","Sunny",NA,"G","","SDWRF","Ambient"
"27","EL5.6EC","","Alkalinity","2006-08-08 09:30:00",95.3,"","mgCaCO3/L","","","","Sunny",NA,"G","","SDWRF","Ambient"
"28","EL5.6EC","","Alkalinity","2006-09-12 09:05:00",61.2,"","mgCaCO3/L","","","","Cloudy",NA,"G","","SDWRF","Ambient"
"29","EL5.6EC","","Alkalinity","2006-10-10 09:54:00",53.9,"","mgCaCO3/L","","","","Sunny",NA,"G","","SDWRF","Ambient"
"30","EL5.6EC","","Alkalinity","2006-11-07 09:24:00",64,"","mgCaCO3/L","","","","Partly Cloudy",NA,"G","","SDWRF","Ambient"
"31","EL5.6EC","","Alkalinity","2006-12-06 09:10:00",62.2,"","mgCaCO3/L","","","","Sunny",NA,"G","","SDWRF","Ambient"
"32","EL5.6EC","","Alkalinity","2007-10-16 10:55:00",61.8,"","mgCaCO3/L","","","","Sunny",NA,"G","","SDWRF","Ambient"
"33","EL5.6EC","","Alkalinity","2007-11-06 09:40:00",65.6,"","mgCaCO3/L","","","","Cloudy",NA,"G","","SDWRF","Ambient"
"34","EL5.6EC","","Alkalinity","2007-12-05 10:05:00",77.3,"","mgCaCO3/L","","","","Partly Cloudy",NA,"G","","SDWRF","Ambient"
"35","EL5.6EC","","Alkalinity","2008-01-15 10:06:00",77.7,"","mgCaCO3/L","","","","Sunny",NA,"G","","SDWRF","Ambient"
"36","EL5.6EC","","Alkalinity","2008-02-12 10:10:00",94,"","mgCaCO3/L","","","","Cloudy",NA,"G","","SDWRF","Ambient"
"37","EL5.6EC","","Alkalinity","2008-03-13 09:47:00",72.3,"","mgCaCO3/L","","","","Sunny",NA,"G","","SDWRF","Ambient"
"38","EL5.6EC","","Alkalinity","2008-04-08 10:10:00",72.2,"","mgCaCO3/L","","","","Partly Cloudy",NA,"G","","SDWRF","Ambient"
"39","EL5.6EC","","Alkalinity","2008-05-06 09:29:00",93,"","mgCaCO3/L","","","","Sunny",NA,"G","","SDWRF","Ambient"
"40","EL7.1SEC","","Alkalinity","2006-02-07 09:20:00",125.4,"","mgCaCO3/L","","","","Partly Cloudy",NA,"G","","SDWRF","Ambient"
"41","EL7.1SEC","","Alkalinity","2006-03-14 10:15:00",53.5,"","mgCaCO3/L","","","","Cloudy",NA,"G","","SDWRF","Ambient"
"42","EL7.1SEC","","Alkalinity","2006-04-04 09:55:00",71.8,"","mgCaCO3/L","","","","Sunny",NA,"G","","SDWRF","Ambient"
